scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,timing,period_jit,lat_jit_s,stamp_jit_s,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s02,jink_10hz_50ms,EKF,EKF,bbox,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,5.4708,1.6090,0.7167,0.6427,0.9846,0.8800,2.0405,0.0552,1.3698,189,0,2000,logs/auto_20260817_043411/runs/s02_EKF.csv
s02,jink_10hz_50ms,UKF,UKF,bbox,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,7.2593,1.6090,1.1352,0.6526,0.9520,0.6840,3.6039,0.0249,1.5794,189,0,2000,logs/auto_20260817_043411/runs/s02_UKF.csv
s02,jink_10hz_50ms,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,6.5879,1.6090,0.8371,0.7987,2.1381,2.0758,3.9206,0.1073,1.1678,189,0,2000,logs/auto_20260817_043411/runs/s02_IMM-EKF.csv
s02,jink_10hz_50ms,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,8.3216,1.6090,1.2342,0.8355,2.1457,2.0253,4.4960,0.1104,1.1597,189,0,2000,logs/auto_20260817_043411/runs/s02_IMM-UKF.csv
s02,jink_10hz_50ms,EKF-LOS,EKF,los,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,215.4674,1.6090,16.6139,6.3137,5.0127,3.5647,16.2142,0.0228,5.5019,189,0,2000,logs/auto_20260817_043411/runs/s02_EKF-LOS.csv
s02,jink_10hz_50ms,UKF-LOS,UKF,los,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,12.7472,1.6090,2.1489,0.9703,11.6397,11.3694,19.8156,0.0228,7.1009,189,0,2000,logs/auto_20260817_043411/runs/s02_UKF-LOS.csv
s02,jink_10hz_50ms,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,237.4362,1.6090,20.3256,6.9895,4.1630,3.7130,10.0200,0.0228,4.6442,189,0,2000,logs/auto_20260817_043411/runs/s02_IMM-EKF-LOS.csv
s02,jink_10hz_50ms,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,13.2191,1.6090,2.2879,0.8513,1.0259,0.8547,3.4299,0.0228,0.9970,189,0,2000,logs/auto_20260817_043411/runs/s02_IMM-UKF-LOS.csv
s03,smooth_10hz_150ms,CV-pixel,CV,px,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,2.8090,1.6095,0.3994,0.3213,0.0000,0.0000,0.0000,0.0000,0.0000,188,0,2000,logs/auto_20260817_043411/runs/s03_CV-pixel.csv
s03,smooth_10hz_150ms,EKF,EKF,bbox,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,11.8602,1.6095,1.7153,1.6704,0.9939,0.8002,4.5101,0.0348,0.9643,188,0,2000,logs/auto_20260817_043411/runs/s03_EKF.csv
s03,smooth_10hz_150ms,UKF,UKF,bbox,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,13.2762,1.6095,2.2108,1.7340,1.4596,1.2424,5.2465,0.0438,1.1440,188,0,2000,logs/auto_20260817_043411/runs/s03_UKF.csv
s03,smooth_10hz_150ms,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,11.9541,1.6095,1.8094,1.6559,0.8565,0.6361,3.9107,0.0312,0.6934,188,0,2000,logs/auto_20260817_043411/runs/s03_IMM-EKF.csv
s03,smooth_10hz_150ms,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,14.6723,1.6095,2.2104,1.9896,1.1195,0.7939,3.9052,0.0483,0.8536,188,0,2000,logs/auto_20260817_043411/runs/s03_IMM-UKF.csv
s03,smooth_10hz_150ms,EKF-LOS,EKF,los,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,140.4432,1.6095,18.4059,12.5197,25.3918,17.8324,77.0596,0.0344,13.3864,188,11,2000,logs/auto_20260817_043411/runs/s03_EKF-LOS.csv
s03,smooth_10hz_150ms,UKF-LOS,UKF,los,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,15.3867,1.6095,2.4138,2.1339,24.6528,21.9379,56.5017,0.0344,8.1083,188,0,2000,logs/auto_20260817_043411/runs/s03_UKF-LOS.csv
s03,smooth_10hz_150ms,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,13.7144,1.6095,1.5841,2.0485,4.7244,3.3876,13.4752,0.0344,2.8782,188,0,2000,logs/auto_20260817_043411/runs/s03_IMM-EKF-LOS.csv
s03,smooth_10hz_150ms,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.150,1,1,0.200,0.0100,0.0020,17.5826,1.6095,3.4021,2.2368,9.9001,7.7231,24.7756,0.0344,5.0699,188,0,2000,logs/auto_20260817_043411/runs/s03_IMM-UKF-LOS.csv
s04,jink_10hz_150ms,CV-pixel,CV,px,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,2.8024,1.6061,0.3760,0.3204,0.0000,0.0000,0.0000,0.0000,0.0000,188,0,2000,logs/auto_20260817_043411/runs/s04_CV-pixel.csv
s04,jink_10hz_150ms,EKF,EKF,bbox,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,14.4863,1.6061,1.7143,1.8473,1.0550,0.8967,2.5172,0.0551,1.3652,188,0,2000,logs/auto_20260817_043411/runs/s04_EKF.csv
s04,jink_10hz_150ms,UKF,UKF,bbox,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,15.9271,1.6061,2.3401,1.6047,1.1740,0.9018,3.7970,0.0251,1.5757,188,0,2000,logs/auto_20260817_043411/runs/s04_UKF.csv
s04,jink_10hz_150ms,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,18.2141,1.6061,2.0173,2.4224,2.1807,2.0549,4.5355,0.1071,1.1768,188,0,2000,logs/auto_20260817_043411/runs/s04_IMM-EKF.csv
s04,jink_10hz_150ms,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,20.2415,1.6061,2.6243,2.3957,2.2000,2.0121,5.0139,0.1101,1.1609,188,0,2000,logs/auto_20260817_043411/runs/s04_IMM-UKF.csv
s04,jink_10hz_150ms,EKF-LOS,EKF,los,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,183.9217,1.6061,17.5959,7.2661,5.4108,3.8522,17.3658,0.0228,5.4995,188,0,2000,logs/auto_20260817_043411/runs/s04_EKF-LOS.csv
s04,jink_10hz_150ms,UKF-LOS,UKF,los,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,23.3246,1.6061,3.8617,1.8417,12.1972,11.8862,21.5082,0.0228,7.1266,188,0,2000,logs/auto_20260817_043411/runs/s04_UKF-LOS.csv
s04,jink_10hz_150ms,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,235.4809,1.6061,20.4434,9.1057,4.3684,3.8127,10.9356,0.0228,4.6441,188,0,2000,logs/auto_20260817_043411/runs/s04_IMM-EKF-LOS.csv
s04,jink_10hz_150ms,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,24.2097,1.6061,3.9288,1.9704,1.2156,0.9755,4.3894,0.0228,1.0166,188,0,2000,logs/auto_20260817_043411/runs/s04_IMM-UKF-LOS.csv
s05,smooth_20hz_50ms,CV-pixel,CV,px,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,2.4255,1.6188,0.3315,0.2851,0.0000,0.0000,0.0000,0.0000,0.0000,364,0,2000,logs/auto_20260817_043411/runs/s05_CV-pixel.csv
s05,smooth_20hz_50ms,EKF,EKF,bbox,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,3.4852,1.6188,0.4520,0.4462,2.4240,2.2059,4.9087,0.0964,1.3341,364,0,2000,logs/auto_20260817_043411/runs/s05_EKF.csv
s05,smooth_20hz_50ms,UKF,UKF,bbox,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,3.7192,1.6188,0.5256,0.4850,1.1349,0.9162,2.8990,0.0601,0.9076,364,0,2000,logs/auto_20260817_043411/runs/s05_UKF.csv
s05,smooth_20hz_50ms,IMM-EKF,IMM-EKF,bbox,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,3.2446,1.6188,0.4561,0.4097,0.9425,0.7831,3.3115,0.0371,0.7159,364,0,2000,logs/auto_20260817_043411/runs/s05_IMM-EKF.csv
s05,smooth_20hz_50ms,IMM-UKF,IMM-UKF,bbox,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,3.9170,1.6188,0.6016,0.5109,1.7263,1.4200,4.5501,0.0840,0.9905,364,0,2000,logs/auto_20260817_043411/runs/s05_IMM-UKF.csv
s05,smooth_20hz_50ms,EKF-LOS,EKF,los,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,149.4139,1.6188,18.4555,9.6274,29.3888,20.5357,77.2399,0.0344,13.6049,364,40,2000,logs/auto_20260817_043411/runs/s05_EKF-LOS.csv
s05,smooth_20hz_50ms,UKF-LOS,UKF,los,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,4.7521,1.6188,0.7451,0.6411,14.6656,13.8607,30.6984,0.0344,5.2321,364,0,2000,logs/auto_20260817_043411/runs/s05_UKF-LOS.csv
s05,smooth_20hz_50ms,IMM-EKF-LOS,IMM-EKF,los,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,3.2345,1.6188,0.4568,0.4101,3.0854,2.5556,9.7258,0.0344,1.7310,364,0,2000,logs/auto_20260817_043411/runs/s05_IMM-EKF-LOS.csv
s05,smooth_20hz_50ms,IMM-UKF-LOS,IMM-UKF,los,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,4.2949,1.6188,0.8570,0.5002,4.3243,3.6173,11.8455,0.0344,2.3422,364,0,2000,logs/auto_20260817_043411/runs/s05_IMM-UKF-LOS.csv
s06,jink_4hz_50ms,CV-pixel,CV,px,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,1.8529,1.4462,0.2370,0.2233,0.0000,0.0000,0.0000,0.0000,0.0000,78,0,2000,logs/auto_20260817_043411/runs/s06_CV-pixel.csv
s06,jink_4hz_50ms,EKF,EKF,bbox,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,17.8396,1.4462,2.3298,2.1042,1.0146,0.8625,2.9157,0.0505,2.0279,78,0,2000,logs/auto_20260817_043411/runs/s06_EKF.csv
s06,jink_4hz_50ms,UKF,UKF,bbox,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,58.3216,1.4462,7.8386,5.9767,5.1227,4.9147,10.1276,0.1432,3.0687,78,0,2000,logs/auto_20260817_043411/runs/s06_UKF.csv
s06,jink_4hz_50ms,IMM-EKF,IMM-EKF,bbox,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,19.8321,1.4462,2.4672,2.4266,1.5016,1.3806,3.5719,0.0794,1.3649,78,0,2000,logs/auto_20260817_043411/runs/s06_IMM-EKF.csv
s06,jink_4hz_50ms,IMM-UKF,IMM-UKF,bbox,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,43.2504,1.4462,6.1755,4.2737,1.0281,0.8514,3.2668,0.0632,0.9527,78,0,2000,logs/auto_20260817_043411/runs/s06_IMM-UKF.csv
s06,jink_4hz_50ms,EKF-LOS,EKF,los,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,1479.9548,1.4462,39.7390,8.9187,10.1028,8.3179,24.4655,0.0228,7.3388,78,0,2000,logs/auto_20260817_043411/runs/s06_EKF-LOS.csv
s06,jink_4hz_50ms,UKF-LOS,UKF,los,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,80.9356,1.4462,13.4051,4.0672,29.5299,27.2128,56.2663,0.0228,15.6045,78,0,2000,logs/auto_20260817_043411/runs/s06_UKF-LOS.csv
s06,jink_4hz_50ms,IMM-EKF-LOS,IMM-EKF,los,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,500.4311,1.4462,27.0874,4.6782,9.0129,6.7104,25.5729,0.0228,6.3175,78,0,2000,logs/auto_20260817_043411/runs/s06_IMM-EKF-LOS.csv
s06,jink_4hz_50ms,IMM-UKF-LOS,IMM-UKF,los,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,85.0935,1.4462,13.7818,4.2223,69.3262,58.8360,175.8558,0.0228,41.6729,78,0,2000,logs/auto_20260817_043411/runs/s06_IMM-UKF-LOS.csv
s07,smooth_10hz_nojitter,CV-pixel,CV,px,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,0.0547,0.0474,0.0123,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,188,0,2000,logs/auto_20260817_043411/runs/s07_CV-pixel.csv
s07,smooth_10hz_nojitter,EKF,EKF,bbox,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,4.6268,0.0474,0.4035,0.7255,0.9562,0.8151,2.0545,0.0402,0.9036,188,0,2000,logs/auto_20260817_043411/runs/s07_EKF.csv
s07,smooth_10hz_nojitter,UKF,UKF,bbox,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,5.4891,0.0474,0.8524,0.7604,1.2404,1.0623,3.4677,0.0380,1.1189,188,0,2000,logs/auto_20260817_043411/runs/s07_UKF.csv
s07,smooth_10hz_nojitter,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,4.9396,0.0474,0.4524,0.7719,0.7880,0.6603,2.4376,0.0340,0.7662,188,0,2000,logs/auto_20260817_043411/runs/s07_IMM-EKF.csv
s07,smooth_10hz_nojitter,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,6.6953,0.0474,1.1674,0.8999,0.6589,0.5065,2.7198,0.0298,0.7756,188,0,2000,logs/auto_20260817_043411/runs/s07_IMM-UKF.csv
s07,smooth_10hz_nojitter,EKF-LOS,EKF,los,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,232.2573,0.0474,23.9028,15.6862,41.5400,31.5418,84.6028,0.0344,18.1221,188,45,2000,logs/auto_20260817_043411/runs/s07_EKF-LOS.csv
s07,smooth_10hz_nojitter,UKF-LOS,UKF,los,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,110.0073,0.0474,12.5307,6.7705,33.2221,28.5824,83.2264,0.0344,11.7994,188,10,2000,logs/auto_20260817_043411/runs/s07_UKF-LOS.csv
s07,smooth_10hz_nojitter,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,4.5478,0.0474,0.5964,0.6725,5.4805,3.7882,16.3368,0.0344,3.5772,188,0,2000,logs/auto_20260817_043411/runs/s07_IMM-EKF-LOS.csv
s07,smooth_10hz_nojitter,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,8.8732,0.0474,1.7689,1.1094,18.9922,14.9261,44.1862,0.0344,10.0311,188,0,2000,logs/auto_20260817_043411/runs/s07_IMM-UKF-LOS.csv
s08,jink_10hz_nojitter,CV-pixel,CV,px,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,0.0480,0.0420,0.0084,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000,188,0,2000,logs/auto_20260817_043411/runs/s08_CV-pixel.csv
s08,jink_10hz_nojitter,EKF,EKF,bbox,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,5.3503,0.0420,0.5816,0.7211,2.0475,1.9876,3.4668,0.1062,1.3866,188,0,2000,logs/auto_20260817_043411/runs/s08_EKF.csv
s08,jink_10hz_nojitter,UKF,UKF,bbox,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,7.0084,0.0420,1.1053,0.6117,0.8376,0.6225,3.1170,0.0305,1.5433,188,0,2000,logs/auto_20260817_043411/runs/s08_UKF.csv
s08,jink_10hz_nojitter,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,6.4095,0.0420,0.7338,0.8391,2.5342,2.4859,4.3388,0.1254,1.2906,188,0,2000,logs/auto_20260817_043411/runs/s08_IMM-EKF.csv
s08,jink_10hz_nojitter,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,8.0969,0.0420,1.1705,0.8425,2.1860,2.0838,4.3900,0.1127,1.1387,188,0,2000,logs/auto_20260817_043411/runs/s08_IMM-UKF.csv
s08,jink_10hz_nojitter,EKF-LOS,EKF,los,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,398.1908,0.0420,11.5965,6.4733,4.1418,3.5455,11.3385,0.0228,5.2705,188,0,2000,logs/auto_20260817_043411/runs/s08_EKF-LOS.csv
s08,jink_10hz_nojitter,UKF-LOS,UKF,los,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,12.3775,0.0420,2.0917,0.9532,12.1362,11.8979,20.0997,0.0228,7.5791,188,0,2000,logs/auto_20260817_043411/runs/s08_UKF-LOS.csv
s08,jink_10hz_nojitter,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,15.4545,0.0420,1.3060,2.2747,3.6965,3.4455,8.3134,0.0228,2.2038,188,0,2000,logs/auto_20260817_043411/runs/s08_IMM-EKF-LOS.csv
s08,jink_10hz_nojitter,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,12.0317,0.0420,2.0337,0.8630,0.7833,0.5405,4.3558,0.0228,0.9015,188,0,2000,logs/auto_20260817_043411/runs/s08_IMM-UKF-LOS.csv
s09,far_smooth,CV-pixel,CV,px,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,2.0818,1.5490,0.2854,0.2397,0.0000,0.0000,0.0000,0.0000,0.0000,192,0,2000,logs/auto_20260817_043411/runs/s09_CV-pixel.csv
s09,far_smooth,EKF,EKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,4.9664,1.5490,0.6391,0.6927,2.1102,1.4618,9.7620,0.0472,1.4797,192,0,2000,logs/auto_20260817_043411/runs/s09_EKF.csv
s09,far_smooth,UKF,UKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,6.3758,1.5490,1.0029,0.8027,1.9282,1.6840,4.2701,0.0515,1.5812,192,0,2000,logs/auto_20260817_043411/runs/s09_UKF.csv
s09,far_smooth,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,4.9745,1.5490,0.6215,0.7037,1.7653,0.9537,8.6195,0.0335,0.9236,192,0,2000,logs/auto_20260817_043411/runs/s09_IMM-EKF.csv
s09,far_smooth,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,6.9989,1.5490,1.0475,0.9240,0.8949,0.7041,2.5870,0.0446,0.9870,192,0,2000,logs/auto_20260817_043411/runs/s09_IMM-UKF.csv
s09,far_smooth,EKF-LOS,EKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.3053,1.5490,0.7487,0.7208,6.5965,4.9815,20.3275,0.0339,4.7851,192,0,2000,logs/auto_20260817_043411/runs/s09_EKF-LOS.csv
s09,far_smooth,UKF-LOS,UKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,10.1369,1.5490,1.6933,1.3144,19.8540,18.4140,34.8376,0.0339,8.0448,192,0,2000,logs/auto_20260817_043411/runs/s09_UKF-LOS.csv
s09,far_smooth,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.5477,1.5490,0.7271,0.7783,3.1939,2.1975,8.4241,0.0339,2.9583,192,0,2000,logs/auto_20260817_043411/runs/s09_IMM-EKF-LOS.csv
s09,far_smooth,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,96.7908,1.5490,3.6788,9.1949,6.6108,5.7131,18.1872,0.0339,3.7870,192,0,2000,logs/auto_20260817_043411/runs/s09_IMM-UKF-LOS.csv
s10,close_jink,CV-pixel,CV,px,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,2.2536,1.7106,0.2898,0.2709,0.0000,0.0000,0.0000,0.0000,0.0000,189,0,2000,logs/auto_20260817_043411/runs/s10_CV-pixel.csv
s10,close_jink,EKF,EKF,bbox,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,6.0820,1.7106,0.8852,0.6255,0.8028,0.6906,1.7394,0.0430,0.9984,189,0,2000,logs/auto_20260817_043411/runs/s10_EKF.csv
s10,close_jink,UKF,UKF,bbox,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,7.6928,1.7106,1.2703,0.5818,0.8216,0.6364,2.6993,0.0301,1.0924,189,0,2000,logs/auto_20260817_043411/runs/s10_UKF.csv
s10,close_jink,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,6.8992,1.7106,0.9847,0.7333,1.6299,1.5482,2.7797,0.0853,0.6893,189,0,2000,logs/auto_20260817_043411/runs/s10_IMM-EKF.csv
s10,close_jink,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,8.1248,1.7106,1.2097,0.8080,1.8178,1.7343,2.9496,0.0992,0.7426,189,0,2000,logs/auto_20260817_043411/runs/s10_IMM-UKF.csv
s10,close_jink,EKF-LOS,EKF,los,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,20.7044,1.7106,3.5298,0.6968,10.5975,6.1749,33.3598,0.0229,6.8488,189,0,2000,logs/auto_20260817_043411/runs/s10_EKF-LOS.csv
s10,close_jink,UKF-LOS,UKF,los,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,59.9420,1.7106,8.8786,1.0899,19.5784,16.3649,49.9834,0.0229,10.9158,189,5,2000,logs/auto_20260817_043411/runs/s10_UKF-LOS.csv
s10,close_jink,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,8.8234,1.7106,1.0855,1.0989,3.6710,3.3231,9.8363,0.0229,1.4145,189,0,2000,logs/auto_20260817_043411/runs/s10_IMM-EKF-LOS.csv
s10,close_jink,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.050,1,1,0.200,0.0100,0.0020,12.2224,1.7106,2.1176,0.7215,4.6660,2.6191,16.7257,0.0229,2.5951,189,0,2000,logs/auto_20260817_043411/runs/s10_IMM-UKF-LOS.csv
s11,seed2_smooth,CV-pixel,CV,px,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,2.2220,1.6757,0.2909,0.2634,0.0000,0.0000,0.0000,0.0000,0.0000,191,0,2000,logs/auto_20260817_043411/runs/s11_CV-pixel.csv
s11,seed2_smooth,EKF,EKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.8660,1.6757,0.8420,0.6442,1.4733,1.3004,3.7217,0.0641,1.0898,191,0,2000,logs/auto_20260817_043411/runs/s11_EKF.csv
s11,seed2_smooth,UKF,UKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.4893,1.6757,0.7934,0.5876,1.9503,1.8463,4.0680,0.0777,1.1126,191,0,2000,logs/auto_20260817_043411/runs/s11_UKF.csv
s11,seed2_smooth,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.8241,1.6757,0.8448,0.6308,1.2428,1.0959,2.9729,0.0532,0.9479,191,0,2000,logs/auto_20260817_043411/runs/s11_IMM-EKF.csv
s11,seed2_smooth,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,5.4048,1.6757,0.7438,0.6127,0.9419,0.8008,2.7386,0.0361,0.7019,191,0,2000,logs/auto_20260817_043411/runs/s11_IMM-UKF.csv
s11,seed2_smooth,EKF-LOS,EKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,71.0477,1.6757,9.8621,2.2451,23.5181,18.9182,46.6359,0.0316,10.9787,191,8,2000,logs/auto_20260817_043411/runs/s11_EKF-LOS.csv
s11,seed2_smooth,UKF-LOS,UKF,los,smooth,10.00,0.050,1,1,0.200,0.0100,0.0020,50.2735,1.6757,7.5456,1.2639,36.7848,33.6432,64.6151,0.0316,13.2337,191,6,2000,logs/auto_20260817_043411/runs/s11_UKF-LOS.csv
