scenario,name,family,maneuver,detect_hz,latency_s,jitter,bbox_est_px,los_est_px,d_est_px,bbox_hdg,los_hdg,d_hdg,bbox_range,los_range,d_range,bbox_size,los_size
s08,jink_10hz_nojitter,UKF,jink,10.00,0.050,0,7.0084,12.3775,5.3690,1.1053,2.0917,0.9864,0.8376,12.1362,11.2985,0.0305,0.0228
s08,jink_10hz_nojitter,IMM-EKF,jink,10.00,0.050,0,6.4095,15.4545,9.0450,0.7338,1.3060,0.5721,2.5342,3.6965,1.1623,0.1254,0.0228
s08,jink_10hz_nojitter,IMM-UKF,jink,10.00,0.050,0,8.0969,12.0317,3.9348,1.1705,2.0337,0.8632,2.1860,0.7833,-1.4027,0.1127,0.0228
s09,far_smooth,EKF,smooth,10.00,0.050,1,4.9664,5.3053,0.3389,0.6391,0.7487,0.1096,2.1102,6.5965,4.4863,0.0472,0.0339
s09,far_smooth,UKF,smooth,10.00,0.050,1,6.3758,10.1369,3.7611,1.0029,1.6933,0.6904,1.9282,19.8540,17.9258,0.0515,0.0339
s09,far_smooth,IMM-EKF,smooth,10.00,0.050,1,4.9745,5.5477,0.5731,0.6215,0.7271,0.1057,1.7653,3.1939,1.4286,0.0335,0.0339
s09,far_smooth,IMM-UKF,smooth,10.00,0.050,1,6.9989,96.7908,89.7919,1.0475,3.6788,2.6313,0.8949,6.6108,5.7159,0.0446,0.0339
s10,close_jink,EKF,jink,10.00,0.050,1,6.0820,20.7044,14.6224,0.8852,3.5298,2.6445,0.8028,10.5975,9.7948,0.0430,0.0229
s10,close_jink,UKF,jink,10.00,0.050,1,7.6928,59.9420,52.2492,1.2703,8.8786,7.6083,0.8216,19.5784,18.7568,0.0301,0.0229
s10,close_jink,IMM-EKF,jink,10.00,0.050,1,6.8992,8.8234,1.9241,0.9847,1.0855,0.1008,1.6299,3.6710,2.0411,0.0853,0.0229
s10,close_jink,IMM-UKF,jink,10.00,0.050,1,8.1248,12.2224,4.0976,1.2097,2.1176,0.9079,1.8178,4.6660,2.8483,0.0992,0.0229
s11,seed2_smooth,EKF,smooth,10.00,0.050,1,5.8660,71.0477,65.1817,0.8420,9.8621,9.0202,1.4733,23.5181,22.0449,0.0641,0.0316
s11,seed2_smooth,UKF,smooth,10.00,0.050,1,5.4893,50.2735,44.7842,0.7934,7.5456,6.7522,1.9503,36.7848,34.8344,0.0777,0.0316
s11,seed2_smooth,IMM-EKF,smooth,10.00,0.050,1,5.8241,121.2664,115.4424,0.8448,3.6614,2.8166,1.2428,10.4262,9.1833,0.0532,0.0316
s11,seed2_smooth,IMM-UKF,smooth,10.00,0.050,1,5.4048,6.5004,1.0956,0.7438,0.9839,0.2401,0.9419,8.6646,7.7226,0.0361,0.0316
s12,hi_jitter_jink,EKF,jink,10.00,0.050,1,7.2265,8.4753,1.2488,0.9899,1.2928,0.3029,2.3826,12.8777,10.4951,0.0866,0.0228
s12,hi_jitter_jink,UKF,jink,10.00,0.050,1,8.2568,13.0038,4.7471,1.2400,2.1438,0.9038,2.0152,13.0649,11.0497,0.0605,0.0228
s12,hi_jitter_jink,IMM-EKF,jink,10.00,0.050,1,7.5173,8.1079,0.5907,1.0619,1.1809,0.1190,0.7361,1.4335,0.6973,0.0430,0.0228
s12,hi_jitter_jink,IMM-UKF,jink,10.00,0.050,1,8.9991,12.1971,3.1980,1.3528,2.0266,0.6738,1.6748,1.6112,-0.0636,0.0885,0.0228
s13,stable_timing,EKF,smooth,10.00,0.050,1,4.6283,151.4143,146.7860,0.4991,15.7326,15.2335,1.5326,28.5360,27.0034,0.0549,0.0344
s13,stable_timing,UKF,smooth,10.00,0.050,1,5.1570,85.2590,80.1020,0.7309,10.9138,10.1829,1.3570,35.8668,34.5098,0.0433,0.0344
s13,stable_timing,IMM-EKF,smooth,10.00,0.050,1,4.9448,4.6615,-0.2833,0.5036,0.7530,0.2494,1.0114,8.2473,7.2359,0.0385,0.0344
s13,stable_timing,IMM-UKF,smooth,10.00,0.050,1,5.9314,9.2375,3.3061,0.9677,2.1355,1.1678,0.7201,9.8355,9.1154,0.0335,0.0344
s14,heavy_period,EKF,smooth,10.00,0.050,1,5.0146,296.4557,291.4412,0.5361,26.8420,26.3059,1.1641,29.5099,28.3458,0.0464,0.0344
s14,heavy_period,UKF,smooth,10.00,0.050,1,5.7098,9.3677,3.6579,0.8127,1.3575,0.5447,1.3439,26.0681,24.7242,0.0466,0.0344
s14,heavy_period,IMM-EKF,smooth,10.00,0.050,1,4.8696,7.4735,2.6039,0.5086,0.7026,0.1940,1.0511,7.2649,6.2138,0.0419,0.0344
s14,heavy_period,IMM-UKF,smooth,10.00,0.050,1,5.7934,8.3252,2.5319,0.7210,1.7679,1.0469,0.8254,8.2414,7.4160,0.0416,0.0344
s15,heavy_stamp,EKF,jink,10.00,0.050,1,6.0231,215.9139,209.8908,0.8518,15.9173,15.0655,0.8114,6.6761,5.8647,0.0450,0.0228
s15,heavy_stamp,UKF,jink,10.00,0.050,1,7.5555,13.6795,6.1241,1.1924,2.3514,1.1591,0.9385,12.4301,11.4916,0.0254,0.0228
s15,heavy_stamp,IMM-EKF,jink,10.00,0.050,1,6.8569,251.1940,244.3371,0.9295,19.1474,18.2179,1.9162,4.2385,2.3223,0.0972,0.0228
s15,heavy_stamp,IMM-UKF,jink,10.00,0.050,1,8.4771,12.2901,3.8130,1.2690,2.0928,0.8237,2.0752,1.1436,-0.9317,0.1073,0.0228
