scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,timing,period_jit,lat_jit_s,stamp_jit_s,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s04,jink_10hz_150ms,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,22.1366,1.6061,2.9759,2.5274,2.3481,2.1152,5.3695,0.1169,1.2225,188,0,2000,logs/auto_20260817_134130/runs/s04_IMM-UKF.csv
s04,jink_10hz_150ms,EKF-LOS,EKF,los,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,279.8231,1.6061,21.3961,7.7475,3.7624,2.5010,13.4408,0.0228,4.6856,188,0,2000,logs/auto_20260817_134130/runs/s04_EKF-LOS.csv
s04,jink_10hz_150ms,UKF-LOS,UKF,los,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,25.1070,1.6061,4.1763,1.9579,12.0788,11.8025,20.1151,0.0228,7.0433,188,0,2000,logs/auto_20260817_134130/runs/s04_UKF-LOS.csv
s04,jink_10hz_150ms,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,220.1773,1.6061,23.6063,9.8655,5.1437,4.1969,17.2776,0.0228,5.8104,188,0,2000,logs/auto_20260817_134130/runs/s04_IMM-EKF-LOS.csv
s04,jink_10hz_150ms,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.150,1,1,0.200,0.0100,0.0020,25.1117,1.6061,3.8600,2.3462,1.6326,1.3167,3.9199,0.0228,1.1231,188,0,2000,logs/auto_20260817_134130/runs/s04_IMM-UKF-LOS.csv
s05,smooth_20hz_50ms,CV-pixel,CV,px,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,2.4255,1.6188,0.3315,0.2851,0.0000,0.0000,0.0000,0.0000,0.0000,364,0,2000,logs/auto_20260817_134130/runs/s05_CV-pixel.csv
s05,smooth_20hz_50ms,EKF,EKF,bbox,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,3.5038,1.6188,0.4576,0.4508,1.5685,1.3375,4.3522,0.0556,1.3463,364,0,2000,logs/auto_20260817_134130/runs/s05_EKF.csv
s05,smooth_20hz_50ms,UKF,UKF,bbox,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,3.8875,1.6188,0.5749,0.5070,1.3318,1.0159,3.9640,0.0686,1.2330,364,0,2000,logs/auto_20260817_134130/runs/s05_UKF.csv
s05,smooth_20hz_50ms,IMM-EKF,IMM-EKF,bbox,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,3.2933,1.6188,0.4713,0.4169,0.7242,0.5396,3.3181,0.0314,0.7811,364,0,2000,logs/auto_20260817_134130/runs/s05_IMM-EKF.csv
s05,smooth_20hz_50ms,IMM-UKF,IMM-UKF,bbox,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,4.3280,1.6188,0.6650,0.5746,1.8638,1.5427,4.9523,0.0910,1.1578,364,0,2000,logs/auto_20260817_134130/runs/s05_IMM-UKF.csv
s05,smooth_20hz_50ms,EKF-LOS,EKF,los,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,6.0848,1.6188,0.5656,0.9276,9.4359,8.5518,24.6827,0.0344,4.6760,364,0,2000,logs/auto_20260817_134130/runs/s05_EKF-LOS.csv
s05,smooth_20hz_50ms,UKF-LOS,UKF,los,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,5.5640,1.6188,0.8043,0.7770,16.3605,15.1967,34.8859,0.0344,5.5649,364,0,2000,logs/auto_20260817_134130/runs/s05_UKF-LOS.csv
s05,smooth_20hz_50ms,IMM-EKF-LOS,IMM-EKF,los,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,3.2632,1.6188,0.4406,0.4204,1.6979,1.2830,6.7167,0.0344,1.0326,364,0,2000,logs/auto_20260817_134130/runs/s05_IMM-EKF-LOS.csv
s05,smooth_20hz_50ms,IMM-UKF-LOS,IMM-UKF,los,smooth,20.00,0.050,1,1,0.200,0.0100,0.0020,5.0421,1.6188,1.0415,0.5936,5.0193,4.2918,11.3374,0.0344,2.6328,364,0,2000,logs/auto_20260817_134130/runs/s05_IMM-UKF-LOS.csv
s06,jink_4hz_50ms,CV-pixel,CV,px,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,1.8529,1.4462,0.2370,0.2233,0.0000,0.0000,0.0000,0.0000,0.0000,78,0,2000,logs/auto_20260817_134130/runs/s06_CV-pixel.csv
s06,jink_4hz_50ms,EKF,EKF,bbox,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,18.9172,1.4462,2.4205,2.2520,1.0609,0.8974,2.8588,0.0480,2.1966,78,0,2000,logs/auto_20260817_134130/runs/s06_EKF.csv
s06,jink_4hz_50ms,UKF,UKF,bbox,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,68.7340,1.4462,10.0965,6.1217,4.6757,4.4366,8.6033,0.0971,2.7780,78,0,2000,logs/auto_20260817_134130/runs/s06_UKF.csv
s06,jink_4hz_50ms,IMM-EKF,IMM-EKF,bbox,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,20.2407,1.4462,2.5636,2.4370,1.2772,1.0724,3.7155,0.0663,1.4940,78,0,2000,logs/auto_20260817_134130/runs/s06_IMM-EKF.csv
s06,jink_4hz_50ms,IMM-UKF,IMM-UKF,bbox,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,45.7825,1.4462,7.0658,3.9145,1.0575,0.8598,3.0782,0.0704,0.9003,78,0,2000,logs/auto_20260817_134130/runs/s06_IMM-UKF.csv
s06,jink_4hz_50ms,EKF-LOS,EKF,los,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,1495.5186,1.4462,40.0439,8.9908,9.5034,7.8850,22.9971,0.0228,6.9781,78,0,2000,logs/auto_20260817_134130/runs/s06_EKF-LOS.csv
s06,jink_4hz_50ms,UKF-LOS,UKF,los,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,83.4113,1.4462,13.7015,4.2275,31.4962,28.9007,63.5063,0.0228,16.7492,78,0,2000,logs/auto_20260817_134130/runs/s06_UKF-LOS.csv
s06,jink_4hz_50ms,IMM-EKF-LOS,IMM-EKF,los,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,514.8119,1.4462,27.6539,4.7953,7.9871,6.0010,22.3784,0.0228,5.6857,78,0,2000,logs/auto_20260817_134130/runs/s06_IMM-EKF-LOS.csv
s06,jink_4hz_50ms,IMM-UKF-LOS,IMM-UKF,los,jink,4.00,0.050,1,1,0.200,0.0100,0.0020,90.5559,1.4462,14.6875,4.5678,55.8497,46.1008,138.9306,0.0228,32.1103,78,0,2000,logs/auto_20260817_134130/runs/s06_IMM-UKF-LOS.csv
s07,smooth_10hz_nojitter,CV-pixel,CV,px,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,0.0547,0.0474,0.0123,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,188,0,2000,logs/auto_20260817_134130/runs/s07_CV-pixel.csv
s07,smooth_10hz_nojitter,EKF,EKF,bbox,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,4.5735,0.0474,0.4034,0.7166,0.9145,0.7770,2.0526,0.0387,0.8699,188,0,2000,logs/auto_20260817_134130/runs/s07_EKF.csv
s07,smooth_10hz_nojitter,UKF,UKF,bbox,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,5.9339,0.0474,0.9301,0.8052,1.8039,1.6241,4.2115,0.0558,1.1802,188,0,2000,logs/auto_20260817_134130/runs/s07_UKF.csv
s07,smooth_10hz_nojitter,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,4.8787,0.0474,0.4697,0.7573,0.7478,0.6200,2.3108,0.0326,0.7458,188,0,2000,logs/auto_20260817_134130/runs/s07_IMM-EKF.csv
s07,smooth_10hz_nojitter,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,6.7155,0.0474,1.0869,0.9097,0.7674,0.6136,3.0417,0.0286,0.7212,188,0,2000,logs/auto_20260817_134130/runs/s07_IMM-UKF.csv
s07,smooth_10hz_nojitter,EKF-LOS,EKF,los,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,243.6094,0.0474,26.9682,16.3004,24.4134,16.0040,75.6627,0.0344,12.1854,188,15,2000,logs/auto_20260817_134130/runs/s07_EKF-LOS.csv
s07,smooth_10hz_nojitter,UKF-LOS,UKF,los,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,10.5368,0.0474,1.7155,1.4314,24.8583,22.2187,51.8880,0.0344,8.2035,188,0,2000,logs/auto_20260817_134130/runs/s07_UKF-LOS.csv
s07,smooth_10hz_nojitter,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,4.5925,0.0474,0.5928,0.6806,4.3252,3.0704,13.9531,0.0344,2.6234,188,0,2000,logs/auto_20260817_134130/runs/s07_IMM-EKF-LOS.csv
s07,smooth_10hz_nojitter,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.050,0,1,0.200,0.0100,0.0020,10.4359,0.0474,2.3058,1.2064,14.1659,11.5977,31.9757,0.0344,6.6587,188,0,2000,logs/auto_20260817_134130/runs/s07_IMM-UKF-LOS.csv
s08,jink_10hz_nojitter,CV-pixel,CV,px,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,0.0480,0.0420,0.0084,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000,188,0,2000,logs/auto_20260817_134130/runs/s08_CV-pixel.csv
s08,jink_10hz_nojitter,EKF,EKF,bbox,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,5.3936,0.0420,0.5985,0.7189,2.0572,1.9963,3.5539,0.1064,1.3627,188,0,2000,logs/auto_20260817_134130/runs/s08_EKF.csv
s08,jink_10hz_nojitter,UKF,UKF,bbox,jink,10.00,0.050,0,1,0.200,0.0100,0.0020,8.2480,0.0420,1.3492,0.6496,1.0415,0.7388,3.8601,0.0293,1.4177,188,0,2000,logs/auto_20260817_134130/runs/s08_UKF.csv
