scenario,name,family,maneuver,detect_hz,latency_s,jitter,bbox_est_px,los_est_px,d_est_px,bbox_hdg,los_hdg,d_hdg,bbox_att,los_att,d_att,bbox_range,los_range,d_range,bbox_size,los_size
s07,smooth_10hz_nojitter,IMM-UKF,smooth,10.00,0.050,0,6.7155,10.4359,3.7203,1.0869,2.3058,1.2188,0.9097,1.2064,0.2967,0.7674,14.1659,13.3985,0.0286,0.0344
s08,jink_10hz_nojitter,EKF,jink,10.00,0.050,0,5.3936,340.9457,335.5522,0.5985,11.7636,11.1651,0.7189,6.3038,5.5849,2.0572,3.9798,1.9226,0.1064,0.0228
s08,jink_10hz_nojitter,UKF,jink,10.00,0.050,0,8.2480,14.9001,6.6521,1.3492,2.5570,1.2079,0.6496,1.0296,0.3800,1.0415,11.0296,9.9881,0.0293,0.0228
s08,jink_10hz_nojitter,IMM-EKF,jink,10.00,0.050,0,6.6972,97.7410,91.0438,0.7745,7.6267,6.8522,0.8712,8.0916,7.2203,2.6340,4.0215,1.3875,0.1300,0.0228
s08,jink_10hz_nojitter,IMM-UKF,jink,10.00,0.050,0,9.2891,13.8999,4.6108,1.3970,2.3763,0.9792,0.9059,0.9541,0.0482,2.2545,0.9111,-1.3434,0.1167,0.0228
s09,far_smooth,EKF,smooth,10.00,0.050,1,5.0070,5.2322,0.2252,0.6354,0.7228,0.0874,0.7038,0.7161,0.0124,1.9710,4.4995,2.5285,0.0340,0.0339
s09,far_smooth,UKF,smooth,10.00,0.050,1,8.2061,16.9383,8.7322,1.4437,3.4083,1.9646,0.9933,2.0252,1.0319,2.2995,19.9468,17.6473,0.0455,0.0339
s09,far_smooth,IMM-EKF,smooth,10.00,0.050,1,5.1152,6.1356,1.0204,0.6339,0.7379,0.1040,0.7283,0.8870,0.1587,1.6126,2.9336,1.3211,0.0292,0.0339
s09,far_smooth,IMM-UKF,smooth,10.00,0.050,1,7.8939,93.3818,85.4879,1.3094,4.3612,3.0519,0.9932,9.1307,8.1375,1.0918,8.3155,7.2237,0.0341,0.0339
s10,close_jink,EKF,jink,10.00,0.050,1,6.1857,15.3987,9.2130,0.8908,2.6583,1.7674,0.6471,0.7725,0.1254,1.0122,7.8629,6.8507,0.0491,0.0229
s10,close_jink,UKF,jink,10.00,0.050,1,8.9456,41.5686,32.6230,1.5159,6.5408,5.0250,0.6033,0.9832,0.3799,0.9233,17.1220,16.1986,0.0274,0.0229
s10,close_jink,IMM-EKF,jink,10.00,0.050,1,7.0334,9.2055,2.1721,0.9825,1.1061,0.1236,0.7701,1.1672,0.3971,1.8003,3.5899,1.7896,0.0930,0.0229
s10,close_jink,IMM-UKF,jink,10.00,0.050,1,9.4835,13.1275,3.6440,1.4491,2.2899,0.8409,0.8983,0.7411,-0.1572,2.0525,4.5129,2.4603,0.1130,0.0229
s11,seed2_smooth,EKF,smooth,10.00,0.050,1,5.5860,227.6163,222.0304,0.7874,11.9245,11.1372,0.6222,9.0513,8.4291,1.6821,18.7762,17.0941,0.0680,0.0316
