scenario,name,family,maneuver,detect_hz,latency_s,jitter,bbox_est_px,los_est_px,d_est_px,bbox_hdg,los_hdg,d_hdg,bbox_range,los_range,d_range,bbox_size,los_size
s09,far_smooth,UKF,smooth,10.00,0.050,1,5.3761,8.0976,2.7215,0.8205,1.2634,0.4429,2.0965,17.5862,15.4897,0.0513,0.0339
s09,far_smooth,IMM-EKF,smooth,10.00,0.050,1,4.2028,4.4685,0.2657,0.5098,0.6352,0.1255,1.6753,3.8919,2.2166,0.0347,0.0339
s09,far_smooth,IMM-UKF,smooth,10.00,0.050,1,5.4985,9.2548,3.7563,0.7169,1.8983,1.1815,1.1579,6.8474,5.6895,0.0514,0.0339
s10,close_jink,EKF,jink,10.00,0.050,1,5.2045,210.0394,204.8349,0.7666,14.7324,13.9658,0.6455,18.3599,17.7144,0.0349,0.0229
s10,close_jink,UKF,jink,10.00,0.050,1,6.6054,50.1736,43.5682,1.0860,7.4045,6.3185,0.7016,17.5649,16.8632,0.0306,0.0229
s10,close_jink,IMM-EKF,jink,10.00,0.050,1,5.7148,8.1056,2.3908,0.8089,1.0598,0.2509,1.5457,3.7136,2.1679,0.0814,0.0229
s10,close_jink,IMM-UKF,jink,10.00,0.050,1,7.2688,10.2296,2.9608,1.0991,1.7655,0.6664,1.8892,4.0529,2.1637,0.1024,0.0229
s11,seed2_smooth,EKF,smooth,10.00,0.050,1,4.0341,212.7219,208.6878,0.5279,28.1332,27.6054,0.9110,99.6187,98.7077,0.0390,0.0316
s11,seed2_smooth,UKF,smooth,10.00,0.050,1,4.6143,8.9313,4.3170,0.6938,1.4230,0.7292,1.5917,31.5080,29.9163,0.0640,0.0316
s11,seed2_smooth,IMM-EKF,smooth,10.00,0.050,1,3.8096,37.8042,33.9945,0.5081,1.1214,0.6134,1.0007,8.1848,7.1842,0.0438,0.0316
s11,seed2_smooth,IMM-UKF,smooth,10.00,0.050,1,4.7595,7.5441,2.7846,0.7319,1.1975,0.4655,0.8018,13.1141,12.3123,0.0359,0.0316
s12,hi_jitter_jink,EKF,jink,10.00,0.050,1,6.3981,7.2240,0.8259,0.9278,1.1259,0.1981,1.9432,11.5731,9.6298,0.0682,0.0228
s12,hi_jitter_jink,UKF,jink,10.00,0.050,1,7.0202,11.4218,4.4017,1.0682,1.9407,0.8725,1.1468,12.2248,11.0780,0.0274,0.0228
s12,hi_jitter_jink,IMM-EKF,jink,10.00,0.050,1,6.7216,6.9037,0.1822,0.9617,1.0190,0.0573,0.8443,1.1805,0.3363,0.0495,0.0228
s12,hi_jitter_jink,IMM-UKF,jink,10.00,0.050,1,8.0063,10.3345,2.3283,1.1564,1.7032,0.5468,1.8915,1.0613,-0.8302,0.1006,0.0228
