scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s04,jink_10hz_150ms,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.150,1,19.3036,1.6413,2.3546,2.4079,2.3940,2.2349,5.2815,0.1206,1.1995,199,0,2000,logs/auto_20260817_030358/runs/s04_IMM-UKF.csv
s04,jink_10hz_150ms,EKF-LOS,EKF,los,jink,10.00,0.150,1,18.3108,1.6413,1.8566,2.5284,1.7076,1.2029,6.6863,0.0228,1.2337,199,0,2000,logs/auto_20260817_030358/runs/s04_EKF-LOS.csv
s04,jink_10hz_150ms,UKF-LOS,UKF,los,jink,10.00,0.150,1,21.4121,1.6413,3.5736,1.6850,11.8352,11.6016,20.5678,0.0228,7.1294,199,0,2000,logs/auto_20260817_030358/runs/s04_UKF-LOS.csv
s04,jink_10hz_150ms,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.150,1,31.8377,1.6413,2.2867,4.7763,3.5718,3.3549,7.4828,0.0228,1.4055,199,0,2000,logs/auto_20260817_030358/runs/s04_IMM-EKF-LOS.csv
s04,jink_10hz_150ms,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.150,1,20.1940,1.6413,3.1573,1.8174,1.0807,0.8614,4.0581,0.0228,0.9374,199,0,2000,logs/auto_20260817_030358/runs/s04_IMM-UKF-LOS.csv
s05,smooth_20hz_50ms,CV-pixel,CV,px,smooth,20.00,0.050,1,2.4993,1.6923,0.3482,0.2871,0.0000,0.0000,0.0000,0.0000,0.0000,400,0,2000,logs/auto_20260817_030358/runs/s05_CV-pixel.csv
s05,smooth_20hz_50ms,EKF,EKF,bbox,smooth,20.00,0.050,1,3.3089,1.6923,0.4464,0.4104,1.5671,1.4016,3.5485,0.0636,0.9902,400,0,2000,logs/auto_20260817_030358/runs/s05_EKF.csv
s05,smooth_20hz_50ms,UKF,UKF,bbox,smooth,20.00,0.050,1,3.8321,1.6923,0.5650,0.4944,2.0008,1.5744,4.9414,0.0983,1.1327,400,0,2000,logs/auto_20260817_030358/runs/s05_UKF.csv
s05,smooth_20hz_50ms,IMM-EKF,IMM-EKF,bbox,smooth,20.00,0.050,1,3.1493,1.6923,0.4287,0.3988,0.7129,0.5113,2.2002,0.0398,0.6494,400,0,2000,logs/auto_20260817_030358/runs/s05_IMM-EKF.csv
s05,smooth_20hz_50ms,IMM-UKF,IMM-UKF,bbox,smooth,20.00,0.050,1,4.2961,1.6923,0.6466,0.5739,2.5883,2.1475,6.6131,0.1219,1.2447,400,0,2000,logs/auto_20260817_030358/runs/s05_IMM-UKF.csv
s05,smooth_20hz_50ms,EKF-LOS,EKF,los,smooth,20.00,0.050,1,3.2287,1.6923,0.4188,0.4154,11.7609,10.8234,28.0929,0.0344,4.5807,400,0,2000,logs/auto_20260817_030358/runs/s05_EKF-LOS.csv
s05,smooth_20hz_50ms,UKF-LOS,UKF,los,smooth,20.00,0.050,1,4.5213,1.6923,0.5685,0.6290,15.6028,14.5514,30.8167,0.0344,5.2731,400,0,2000,logs/auto_20260817_030358/runs/s05_UKF-LOS.csv
s05,smooth_20hz_50ms,IMM-EKF-LOS,IMM-EKF,los,smooth,20.00,0.050,1,2.9993,1.6923,0.3931,0.3757,2.6225,2.0313,7.5553,0.0344,1.2377,400,0,2000,logs/auto_20260817_030358/runs/s05_IMM-EKF-LOS.csv
s05,smooth_20hz_50ms,IMM-UKF-LOS,IMM-UKF,los,smooth,20.00,0.050,1,3.9495,1.6923,0.7063,0.4764,4.0987,3.4052,11.4263,0.0344,2.0788,400,0,2000,logs/auto_20260817_030358/runs/s05_IMM-UKF-LOS.csv
s06,jink_4hz_50ms,CV-pixel,CV,px,jink,4.00,0.050,1,2.0337,1.6827,0.2922,0.2132,0.0000,0.0000,0.0000,0.0000,0.0000,80,0,2000,logs/auto_20260817_030358/runs/s06_CV-pixel.csv
s06,jink_4hz_50ms,EKF,EKF,bbox,jink,4.00,0.050,1,17.3414,1.6827,1.9035,2.3121,1.2112,1.0466,2.9140,0.0611,2.0145,80,0,2000,logs/auto_20260817_030358/runs/s06_EKF.csv
s06,jink_4hz_50ms,UKF,UKF,bbox,jink,4.00,0.050,1,47.3651,1.6827,5.9501,5.2736,7.7122,7.4592,14.0351,0.2567,4.6352,80,0,2000,logs/auto_20260817_030358/runs/s06_UKF.csv
s06,jink_4hz_50ms,IMM-EKF,IMM-EKF,bbox,jink,4.00,0.050,1,23.0040,1.6827,2.6331,2.9810,1.9117,1.8044,3.9100,0.0960,1.5208,80,0,2000,logs/auto_20260817_030358/runs/s06_IMM-EKF.csv
s06,jink_4hz_50ms,IMM-UKF,IMM-UKF,bbox,jink,4.00,0.050,1,36.5311,1.6827,5.0066,3.9359,1.3549,1.0290,3.8964,0.0427,1.2982,80,0,2000,logs/auto_20260817_030358/runs/s06_IMM-UKF.csv
s06,jink_4hz_50ms,EKF-LOS,EKF,los,jink,4.00,0.050,1,1235.7013,1.6827,36.2808,5.8514,5.4257,3.7849,15.8812,0.0228,4.4356,80,0,2000,logs/auto_20260817_030358/runs/s06_EKF-LOS.csv
s06,jink_4hz_50ms,UKF-LOS,UKF,los,jink,4.00,0.050,1,90.0340,1.6827,14.7038,3.9534,24.1704,21.9150,53.6126,0.0228,13.1256,80,0,2000,logs/auto_20260817_030358/runs/s06_UKF-LOS.csv
s06,jink_4hz_50ms,IMM-EKF-LOS,IMM-EKF,los,jink,4.00,0.050,1,744.3893,1.6827,29.3484,5.2765,6.2750,4.1771,18.9956,0.0228,5.1993,80,0,2000,logs/auto_20260817_030358/runs/s06_IMM-EKF-LOS.csv
