scenario,name,estimator,family,meas,maneuver,detect_hz,latency_s,jitter,est_px_rms,held_px_rms,los_head_rms,los_att_rms,range_rms,range_bias,range_peak,size_rms,speed_rms,updates,rejects,steps,timeseries
s02,jink_10hz_50ms,UKF-LOS,UKF,los,jink,10.00,0.050,1,13.8311,1.5479,2.4196,1.0406,10.8494,10.6849,14.9863,0.0244,6.8779,80,0,800,logs/auto_20260817_021446/runs/s02_UKF-LOS.csv
s02,jink_10hz_50ms,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.050,1,12.0794,1.5479,0.8431,1.8679,3.1556,2.9912,6.7561,0.0244,1.5522,80,0,800,logs/auto_20260817_021446/runs/s02_IMM-EKF-LOS.csv
s02,jink_10hz_50ms,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.050,1,11.8371,1.5479,2.0428,0.8217,0.6339,0.5259,2.1998,0.0244,1.2333,80,0,800,logs/auto_20260817_021446/runs/s02_IMM-UKF-LOS.csv
s03,smooth_10hz_150ms,CV-pixel,CV,px,smooth,10.00,0.150,1,2.7124,1.5358,0.3932,0.2883,6.8120,6.7792,8.9096,0.3426,6.0000,79,0,800,logs/auto_20260817_021446/runs/s03_CV-pixel.csv
s03,smooth_10hz_150ms,EKF,EKF,bbox,smooth,10.00,0.150,1,9.2672,1.5358,0.8364,1.3522,0.9690,0.8260,2.7173,0.0345,1.0041,79,0,800,logs/auto_20260817_021446/runs/s03_EKF.csv
s03,smooth_10hz_150ms,UKF,UKF,bbox,smooth,10.00,0.150,1,8.8876,1.5358,0.9305,1.2348,1.3721,1.1114,3.3146,0.0395,1.2656,79,0,800,logs/auto_20260817_021446/runs/s03_UKF.csv
s03,smooth_10hz_150ms,IMM-EKF,IMM-EKF,bbox,smooth,10.00,0.150,1,10.0972,1.5358,0.8681,1.4952,0.9060,0.7654,2.2729,0.0358,0.7702,79,0,800,logs/auto_20260817_021446/runs/s03_IMM-EKF.csv
s03,smooth_10hz_150ms,IMM-UKF,IMM-UKF,bbox,smooth,10.00,0.150,1,10.2040,1.5358,0.9474,1.4756,1.0003,0.8006,2.8342,0.0359,0.8604,79,0,800,logs/auto_20260817_021446/runs/s03_IMM-UKF.csv
s03,smooth_10hz_150ms,EKF-LOS,EKF,los,smooth,10.00,0.150,1,11.1834,1.5358,0.9705,1.6568,4.3768,3.7305,10.2850,0.0295,2.2707,79,0,800,logs/auto_20260817_021446/runs/s03_EKF-LOS.csv
s03,smooth_10hz_150ms,UKF-LOS,UKF,los,smooth,10.00,0.150,1,11.6724,1.5358,1.3168,1.5607,15.9292,14.8240,27.2159,0.0295,6.9821,79,0,800,logs/auto_20260817_021446/runs/s03_UKF-LOS.csv
s03,smooth_10hz_150ms,IMM-EKF-LOS,IMM-EKF,los,smooth,10.00,0.150,1,11.5332,1.5358,0.9647,1.7238,0.9787,0.7022,3.5322,0.0295,1.1450,79,0,800,logs/auto_20260817_021446/runs/s03_IMM-EKF-LOS.csv
s03,smooth_10hz_150ms,IMM-UKF-LOS,IMM-UKF,los,smooth,10.00,0.150,1,12.6331,1.5358,1.3576,1.7344,2.4867,2.1776,5.6992,0.0295,1.5395,79,0,800,logs/auto_20260817_021446/runs/s03_IMM-UKF-LOS.csv
s04,jink_10hz_150ms,CV-pixel,CV,px,jink,10.00,0.150,1,2.7320,1.5442,0.3990,0.2883,7.1140,7.0418,9.4025,0.3560,6.0000,79,0,800,logs/auto_20260817_021446/runs/s04_CV-pixel.csv
s04,jink_10hz_150ms,EKF,EKF,bbox,jink,10.00,0.150,1,14.9117,1.5442,1.5390,2.0706,1.3302,1.2500,2.5460,0.0749,1.2977,79,0,800,logs/auto_20260817_021446/runs/s04_EKF.csv
s04,jink_10hz_150ms,UKF,UKF,bbox,jink,10.00,0.150,1,15.4429,1.5442,2.1508,1.7004,0.9875,0.7891,3.0547,0.0317,1.5235,79,0,800,logs/auto_20260817_021446/runs/s04_UKF.csv
s04,jink_10hz_150ms,IMM-EKF,IMM-EKF,bbox,jink,10.00,0.150,1,19.2474,1.5442,1.7198,2.8101,2.1604,2.0819,3.1717,0.1163,1.2616,79,0,800,logs/auto_20260817_021446/runs/s04_IMM-EKF.csv
s04,jink_10hz_150ms,IMM-UKF,IMM-UKF,bbox,jink,10.00,0.150,1,20.4303,1.5442,2.3760,2.6511,1.8924,1.7871,3.0828,0.1071,0.9417,79,0,800,logs/auto_20260817_021446/runs/s04_IMM-UKF.csv
s04,jink_10hz_150ms,EKF-LOS,EKF,los,jink,10.00,0.150,1,26.2877,1.5442,2.0122,3.9507,1.8245,1.2019,6.6863,0.0244,1.4150,79,0,800,logs/auto_20260817_021446/runs/s04_EKF-LOS.csv
s04,jink_10hz_150ms,UKF-LOS,UKF,los,jink,10.00,0.150,1,24.7298,1.5442,4.1901,2.0211,11.3451,11.1575,16.1411,0.0244,6.9114,79,0,800,logs/auto_20260817_021446/runs/s04_UKF-LOS.csv
s04,jink_10hz_150ms,IMM-EKF-LOS,IMM-EKF,los,jink,10.00,0.150,1,33.6970,1.5442,2.0285,5.2122,3.1839,2.9710,7.4828,0.0244,1.5696,79,0,800,logs/auto_20260817_021446/runs/s04_IMM-EKF-LOS.csv
s04,jink_10hz_150ms,IMM-UKF-LOS,IMM-UKF,los,jink,10.00,0.150,1,22.2906,1.5442,3.5087,2.0433,0.8666,0.6925,2.5266,0.0244,1.2543,79,0,800,logs/auto_20260817_021446/runs/s04_IMM-UKF-LOS.csv
